text,labels
"We present a context-preserving text simplification (TS) approach that recursively splits and rephrases complex English sentences into a semantic hierarchy of simplified sentences. Using a set of linguistically principled transformation patterns, input sentences are converted into a hierarchical representation in the form of core sentences and accompanying contexts that are linked via rhetorical relations. Hence, as opposed to previously proposed sentence splitting approaches, which commonly do not take into account discourse-level aspects, our TS approach preserves the semantic relationship of the decomposed constituents in the output. A comparative analysis with the annotations contained in the RST-DT shows that we are able to capture the contextual hierarchy between the split sentences with a precision of 89% and reach an average precision of 69% for the classification of the rhetorical relations that hold between them.",cs.CL
"We present a context-preserving text simplification (TS) approach that recursively splits and rephrases complex English sentences into a semantic hierarchy of simplified sentences. Using a set of linguistically principled transformation patterns, input sentences are converted into a hierarchical histrionics in the form of core sentences and accompanying contexts that are linked via rhetorical relations. Hence, as opposed to previously proposed sentence splitting approaches, which commonly do not take into account discourse-level aspects, our TS approach preserves the semantic relationship of the decomposed constituents in the output. A comparative analysis with the annotations contained in the RST-DT shows that we are able to get the contextual hierarchy between the split sentences with a precision of 89% and reach an average precision of 69% for the classification of the rhetorical relations that hold between them.",cs.CL
"We prove that the long term distribution of the queue length process in an ergodic generalised Jackson network obeys the Large Deviation Principle with a deviation function given by the quasipotential. The latter is related to the unique long term idempotent distribution, which is also a stationary idempotent distribution, of the large deviation limit of the queue length processes. The proof draws on developments in queueing network stability and idempotent probability.",math.PR
"We prove that the long terminus distribution of the queue length process in an ergodic generalised Jackson network obeys the Large Deviation Principle with a deviation function devote by the quasipotential. The latter is related to the unique long terminus idempotent distribution, which is also a stationary idempotent distribution, of the large deviation limit of the queue length processes. The proof draws on developments in queueing network stability and idempotent probability.",math.PR
"Recent studies of the distribution and kinematics of the Milky Way and Andromeda satellite galaxy systems have confirmed the existence of coplanar, corotating structures of galaxies. In addition to the 'missing satellite problem', these structures pose a major challenge to the standard $\Lambda$CDM scenario of structure formation. We complement the efforts made by the dwarf galaxy community to extend these studies to other nearby galaxy groups by systematically searching for faint, unresolved dwarf members with a low surface brightness in the Southern Centaurus group of galaxies. The aim is to determine whether these coplanar, corotating structures are a universal phenomenon. We imaged an area of 60 square degrees (0.3 Mpc$^2$) around the M83 subgroup with the wide-field Dark Energy Camera (DECam) at the CTIO 4 m Blanco telescope in $g$ and $r$ down to a limiting surface brightness of $\mu_r\approx 30$ mag arcsec$^{-2}$. Various image-filtering techniques were applied to the DECam data to enhance the visibility of extremely low-surface brightness objects. We report the discovery of 16 new dwarf galaxy candidates in the direction of the M83 subgroup, roughly doubling the number of known dwarfs in that region. The photometric properties of the candidates, when compared to those of the Local Group, suggest membership in the M83 subgroup. The faintest objects have a central star density of $\approx1.3 L_\odot$ pc$^{-2}$ and a total magnitude of $g = 20.25$, corresponding to $M_g = -9.55$ at the nominal distance of 4.9 Mpc. The sky distribution of the new objects is significantly prolonged toward Cen A, suggesting that many of them belong to the Cen A subgroup or a common halo. We also provide updated surface photometry for the brighter, known dwarf members in the surveyed area.",astro-ph.GA
"Recent studies of the distribution and kinematics of the Milky Way and Andromeda satellite galaxy systems have confirmed the existence of coplanar, corotating structures of galaxies. In addition to the 'missing satellite problem', these structures pose a major challenge to the standard $\Lambda$CDM scenario of body structure formation. We complement the efforts made by the dwarf galaxy community to extend these studies to other nearby galaxy groups by systematically searching for faint, unresolved dwarf members with a low surface brightness in the Southern centaur group of galaxies. The aim is to determine whether these coplanar, corotating structures are a universal phenomenon. We imaged an area of 60 square degrees (0.3 Mpc$^2$) around the M83 subgroup with the wide-field Dark Energy Camera (DECam) at the CTIO 4 m Blanco telescope in $g$ and $r$ down to a limiting surface brightness of $\mu_r\approx 30$ mag arcsec$^{-2}$. Various image-filtering techniques were applied to the DECam data to enhance the visibility of extremely low-surface brightness objects. We report the discovery of 16 new dwarf galaxy candidates in the direction of the M83 subgroup, roughly doubling the number of known dwarfs in that region. The photometric properties of the candidates, when compared to those of the Local Group, suggest membership in the M83 subgroup. The faintest objects have a central star density of $\approx1.3 L_\odot$ pc$^{-2}$ and a total magnitude of $g = 20.25$, corresponding to $M_g = -9.55$ at the nominal distance of 4.9 Mpc. The sky distribution of the new objects is significantly prolonged toward Cen A, suggesting that many of them belong to the Cen A subgroup or a common halo. We also provide updated surface photometry for the brighter, known dwarf members in the surveyed area.",astro-ph.GA
"The adiabatic cristal model is offered. It is shown that springy nuclei oscillations relatively electronic envelops and waves of such oscillations (inherent oscillations and waves) may exist in crystals. The analysis of experimental temperature dependencies of resistivity in semiconductors with electron-vibrational centres has shown that inherent oscillations effectively interact with crystalline phonons as well as with electrons and holes, creating powerful interaction of electrons and holes with phonons. The experimental narrow peaks of phonon-drag thermoelectric power at Debye temperatures from 77K to 700K confirm existence of inherent oscillations waves in crystals. Inherent oscillations and waves gives rise to strong electron-phonon interaction and probably can bring about superconductivity at temperatures as below so and well above room temperature.",cond-mat.dis-nn cond-mat.mes-hall
"The adiabatic cristal model is offered. It is shown that springy nuclei oscillations relatively electronic envelops and waves of such oscillations (inherent oscillations and waves) may exist in crystals. The analysis of experimental temperature dependencies of resistivity in semiconductors with electron-vibrational kernel has shown that inherent oscillations effectively interact with crystalline phonons as well as with electrons and holes, creating powerful interaction of electrons and holes with phonons. The experimental narrow peaks of phonon-drag thermoelectric power at Debye temperatures from 77K to 700K confirm existence of inherent oscillations waves in crystals. implicit in oscillations and waves gives rise to strong electron-phonon interaction and probably can bring about superconductivity at temperatures as below so and well above room temperature.",cond-mat.dis-nn cond-mat.mes-hall
"In an ultrathin topological insulator (TI) film, a hybridization gap opens in the TI surface states, and the system is expected to become either a trivial insulator or a quantum spin Hall insulator when the chemical potential is within the hybridization gap. Here we show, however, that these insulating states are destroyed by the presence of a large and long-range-correlated disorder potential, which converts the expected insulator into a metal. We perform transport measurements in ultrathin, dual-gated topological insulator films as a function of temperature, gate voltage, and magnetic field, and we observe a metallic-like, non-quantized conductivity, which exhibits a weak antilocalization-like cusp at the low magnetic field and gives way to a nonsaturating linear magnetoresistance at large field. We explain these results by considering the disordered network of electron- and hole-type puddles induced by charged impurities. We argue theoretically that such disorder can produce an insulator-to-metal transition as a function of increasing disorder strength, and we derive a condition on the band gap and the impurity concentration necessary to observe the insulating state. We also explain the linear magnetoresistance in terms of strong spatial fluctuations of the local conductivity, using both numerical simulations and a theoretical scaling argument.",cond-mat.mes-hall
"In an ultrathin topological insulator (TI) film, a hybridization gap opens in the TI surface states, and the system is expected to become either a trivial insulator or a quantum spin Hall insulator when the chemical potential is within the hybridization gap. Here we show, however, that these insulating posit are destroyed by the presence of a large and long-range-correlated disorder potential, which win over the expected insulator into a metal. We perform transport measurements in ultrathin, dual-gated topological insulator films as a function of temperature, gate voltage, and magnetic field, and we observe a metallic-like, non-quantized conductivity, which exhibits a weak antilocalization-like cusp at the low magnetic field and gives way to a nonsaturating linear magnetoresistance at large field. We explain these results by considering the disordered network of electron- and hole-type puddles induced by charged impurities. We argue theoretically that such disorder can produce an insulator-to-metal transition as a function of increasing disorder strength, and we derive a condition on the band gap and the impurity concentration necessary to observe the insulating state. We also explain the linear magnetoresistance in terms of strong spatial fluctuations of the local conductivity, using both numerical simulations and a theoretical scaling argument.",cond-mat.mes-hall
"Herein we develop a simple first-principles methodology to determine the modulation that vibrations exert on spin energy levels, a key for the rational design of high-temperature molecular spin qubits and single-molecule magnets. This methodology is demonstrated by applying it to [Cu(mnt)$_2$]$^{2-}$ (mnt$^{2-}$ = 1,2-dicyanoethylene-1,2-dithiolate), a highly coherent complex, using DFT to calculate the normal vibrational modes and wave-function based theory calculations to estimate the spin energy level structure. By theoretically identifying the most relevant vibrational modes, we are able to offer general strategies to chemically design more resilient magnetic molecules, where the qubit energy is not coupled to local vibrations.",cond-mat.mes-hall physics.chem-ph
"Herein we develop a simple first-principles methodology to determine the pitch contour that vibrations exert on spin energy levels, a key for the rational design of high-temperature molecular spin qubits and single-molecule magnets. This methodology is demonstrated by put on it to [Cu(mnt)$_2$]$^{2-}$ (mnt$^{2-}$ = 1,2-dicyanoethylene-1,2-dithiolate), a highly coherent complex, using DFT to calculate the normal vibrational modes and wave-function based theory calculations to estimate the spin energy level structure. By theoretically identifying the most relevant vibrational modes, we are able to offer general strategies to chemically design more resilient magnetic molecules, where the qubit energy is not coupled to local vibrations.",cond-mat.mes-hall physics.chem-ph
Assume that $V$ is a braided vector space with diagonal type. It is shown that a monomial belongs to Nichols braided Lie algebra $\mathfrak L(V)$ if and only if this monomial is connected. A basis of Nichols braided Lie algebra and dimension of Nichols braided Lie algebra of finite Cartan type are obtained.,math.QA
Assume that $V$ is a braided vector space with diagonal type. It is picture that a monomial belongs to Nichols braided Lie algebra $\mathfrak L(V)$ if and exclusively if this monomial is connected. A basis of Nichols braided Lie algebra and dimension of Nichols braided Lie algebra of finite Cartan type are obtained.,math.QA
"We analyse the kinematics of the entire spectroscopic sample of 99 recently discovered high proper-motion white dwarfs by Oppenheimer et al. using a maximum-likelihood analysis, and discuss the claim that the high-velocity white dwarfs are members of a halo population with a local density at least ten times greater than traditionally assumed. We argue that the observations, as reported, are consistent with the presence of an almost undetected thin disc plus a thick disc, with densities as conventionally assumed. In addition, there is a kinematically distinct, flattened, halo population at the more than 99% confidence level. Surprisingly, the thick disc and halo populations are indistinguishable in terms of luminosity, color and apparent age (1-10 Gyr). Adopting a bimodal, Schwarzschild model for the local velocity ellipsoid, with the ratios sigma_U:sigma_V:sigma_W=1:2/3:1/2, we infer radial velocity dispersions of sigma_U=62(+8/-10) km/s and 150(+80/-40) km/s (90% C.L.) for the local thick disc and halo populations, respectively. The thick disc result agrees with the empirical relation between asymmetric drift and radial velocity dispersion, inferred from local stellar populations. The local thick-disc plus halo density of white dwarfs is n^{td+h}=(1.9+-0.5)x10^-3 pc^-3 (90% C.L.), of which n^{h}=1.1(+2.1/-0.7)x10^-4 pc^-3 (90% C.L.) belongs to the halo, a density about five times higher than previously thought. (Abridged)",astro-ph
"We analyse the kinematics of the entire spectroscopic sample of 99 recently discovered high proper-motion white dwarfs by Oppenheimer et al. using a maximum-likelihood analysis, and discuss the claim that the high-velocity white dwarfs are members of a anchor ring population with a local density at least ten times greater than traditionally assumed. We argue that the observations, as reported, are reproducible with the presence of an almost undetected thin disc plus a thick disc, with densities as conventionally assumed. In addition, there is a kinematically distinct, flattened, anchor ring population at the more than 99% confidence level. Surprisingly, the thick disc and anchor ring populations are indistinguishable in terms of luminosity, color and apparent age (1-10 Gyr). Adopting a bimodal, Schwarzschild model for the local velocity ellipsoid, with the ratios sigma_U:sigma_V:sigma_W=1:2/3:1/2, we infer radial velocity dispersions of sigma_U=62(+8/-10) km/s and 150(+80/-40) km/s (90% C.L.) for the local thick disc and anchor ring populations, respectively. The thick disc result agrees with the empirical relation between asymmetric drift and radial velocity dispersion, inferred from local stellar populations. The local thick-disc plus anchor ring density of white dwarfs is n^{td+h}=(1.9+-0.5)x10^-3 pc^-3 (90% C.L.), of which n^{h}=1.1(+2.1/-0.7)x10^-4 pc^-3 (90% C.L.) belongs to the halo, a density about five times higher than previously thought. (Abridged)",astro-ph
"We consider periodic arrays of M2-branes in the ABJM model in the spirit of a circle compactification to D2-branes in type IIA string theory. The result is a curious formulation of three-dimensional maximally supersymmetric Yang-Mills theory in terms of fermions, seven transverse scalars, a non-dynamical gauge field and an additional scalar `dual gluon'. Upon further T-duality on a transverse torus we obtain a non-manifest-Lorentz-invariant description of five-dimensional maximally supersymmetric Yang-Mills. Here the additional scalar field can be thought of as the components of a two-form along the torus. This action can be viewed as an M-theory description of M5-branes on ${\mathbb T}^3$.",hep-th
"We consider periodic arrays of M2-branes in the ABJM model in the spirit of a circle compactification to D2-branes in type IIA string theory. The result is a curious formulation of three-dimensional maximally supersymmetric Yang-Mills theory in terms of fermions, seven transverse scalars, a non-dynamical gauge field and an additional scalar `dual gluon'. Upon further T-duality on a transverse torus we obtain a non-manifest-Lorentz-invariant description of five-dimensional maximally supersymmetric Yang-Mills. Here the additional scalar field can be thought of as the component part of a two-form on the torus. This action can be viewed as an M-theory description of M5-branes on ${\mathbb T}^3$.",hep-th
"Phase retrieval (PR) aims to recover a signal from the magnitudes of a set of inner products. This problem arises in many audio signal processing applications which operate on a short-time Fourier transform magnitude or power spectrogram, and discard the phase information. Recovering the missing phase from the resulting modified spectrogram is indeed necessary in order to synthesize time-domain signals. PR is commonly addressed by considering a minimization problem involving a quadratic loss function. In this paper, we adopt a different standpoint. Indeed, the quadratic loss does not properly account for some perceptual properties of audio, and alternative discrepancy measures such as beta-divergences have been preferred in many settings. Therefore, we formulate PR as a new minimization problem involving Bregman divergences. Since these divergences are not symmetric with respect to their two input arguments in general, they lead to two different formulations of the problem. To optimize the resulting objective, we derive two algorithms based on accelerated gradient descent and alternating direction method of multipliers. Experiments conducted on audio signal recovery from spectrograms that are either exact or estimated from noisy observations highlight the potential of our proposed methods for audio restoration. In particular, leveraging some of these Bregman divergences induce better performance than the quadratic loss when performing PR from spectrograms under very noisy conditions.",cs.SD
"Phase retrieval (PR) aims to recover a signal from the magnitudes of a set of inner products. This problem arises in many audio signal processing applications which operate on a short-time Fourier transform magnitude or power spectrogram, and discard the phase information. Recovering the missing phase from the resulting modified spectrogram is indeed necessary in order to synthesize time-domain signals. PR is commonly addressed by count a minimization problem involving a quadratic loss function. In this paper, we adopt a different standpoint. Indeed, the quadratic loss does not properly account for some perceptual properties of audio, and alternative discrepancy measures such as beta-divergences have been preferred in many settings. Therefore, we formulate PR as a new minimization problem involving Bregman divergences. Since these divergences are not symmetric with respect to their two input arguments in general, they lead to two different formulations of the problem. To optimize the resulting objective, we derive two algorithms based on accelerated gradient descent and alternating direction method of multipliers. Experiments conducted on audio signal recovery from spectrogram that are either exact or estimated from noisy observations highlight the potential of our proposed methods for audio restoration. In particular, leveraging some of these Bregman divergences induce better performance than the quadratic loss when performing PR from spectrogram under very noisy conditions.",cs.SD
"Accurate modeling of the solvent environment for biological molecules is crucial for computational biology and drug design. A popular approach to achieve long simulation time scales for large system sizes is to incorporate the effect of the solvent in a mean-field fashion with implicit solvent models. However, a challenge with existing implicit solvent models is that they often lack accuracy or certain physical properties compared to explicit solvent models, as the many-body effects of the neglected solvent molecules is difficult to model as a mean field. Here, we leverage machine learning (ML) and multi-scale coarse graining (CG) in order to learn implicit solvent models that can approximate the energetic and thermodynamic properties of a given explicit solvent model with arbitrary accuracy, given enough training data. Following the previous ML--CG models CGnet and CGSchnet, we introduce ISSNet, a graph neural network, to model the implicit solvent potential of mean force. ISSNet can learn from explicit solvent simulation data and be readily applied to MD simulations. We compare the solute conformational distributions under different solvation treatments for two peptide systems. The results indicate that ISSNet models can outperform widely-used generalized Born and surface area models in reproducing the thermodynamics of small protein systems with respect to explicit solvent. The success of this novel method demonstrates the potential benefit of applying machine learning methods in accurate modeling of solvent effects for in silico research and biomedical applications.",physics.bio-ph physics.chem-ph physics.comp-ph q-bio.BM stat.ML
"Accurate modeling of the solvent environment for biological molecules is crucial for computational biology and drug design. A popular approach to achieve long simulation time scales for large system sizes is to incorporate the effect of the solvent in a mean-field fashion with implicit solvent models. However, a challenge with existing implicit solvent models is that they often lack accuracy or certain physical properties compared to explicit solvent models, as the many-body effects of the neglected solvent molecules is difficult to model as a average field. Here, we leverage machine erudition (ML) and multi-scale coarse graining (CG) in order to learn implicit solvent models that can approximate the energetic and thermodynamic properties of a given explicit solvent model with arbitrary accuracy, given enough training data. Following the previous ML--CG models CGnet and CGSchnet, we introduce ISSNet, a graph neural network, to model the implicit solvent potential of average force. ISSNet can learn from explicit solvent simulation data and be readily applied to MD simulations. We compare the solute conformational distributions under different solvation treatments for two peptide systems. The results indicate that ISSNet models can outperform widely-used generalized Born and surface area models in reproducing the thermodynamics of small protein systems with respect to explicit solvent. The success of this novel method demonstrates the potential benefit of applying machine erudition methods in accurate modeling of solvent effects for in silico research and biomedical applications.",physics.bio-ph physics.chem-ph physics.comp-ph q-bio.BM stat.ML
"Polycrystalline YMn1-xFexO3 (YMFO_x) (0 <= x <= 0.1) compounds have been prepared in single phase and characterized by synchrotron X-ray diffraction, X-ray absorption near edge spectroscopy, magnetization, and dielectric measurements. Iron-substitution in hexagonal YMnO3 causes intra-lattice changes exceeding those of the lattice cell. XANES provide mixed-valence Mn3+/Mn4+ and Fe4+ charge states in these manganites, consistent with the observed decrease of the effective magnetic moment with Fe-doping. Magnetization M(T) evidence antiferromagnetic (AFM) ordering of the specimens with little weak ferromagnetism, and the metrices of exchange interaction suppress with Fe-doping, attributed to the lengthening of the Mn-O planar bond lengths. Dielectric {\epsilon}'(T) results showing highly doping-dependent anomaly at T_N indicate linear magneto-electric coupling.",cond-mat.mtrl-sci
"Polycrystalline YMn1-xFexO3 (YMFO_x) (0 <= x <= 0.1) compounds have been prepared in single phase and characterized by synchrotron X-ray diffraction, X-ray absorption near edge spectroscopy, magnetization, and dielectric measurements. Iron-substitution in hexagonal YMnO3 causes intra-lattice changes exceeding those of the lattice cell. XANES provide mixed-valence Mn3+/Mn4+ and Fe4+ charge states in these manganites, consistent with the observed diminution of the effective magnetic moment with Fe-doping. magnetic induction M(T) evidence antiferromagnetic (AFM) ordering of the specimens with little weak ferromagnetism, and the metrices of exchange interaction suppress with Fe-doping, attributed to the lengthening of the Mn-O planar bond lengths. Dielectric {\epsilon}'(T) results showing highly doping-dependent anomaly at T_N indicate linear magneto-electric coupling.",cond-mat.mtrl-sci
"We present the Data Release 9 Quasar (DR9Q) catalog from the Baryon Oscillation Spectroscopic Survey (BOSS) of the Sloan Digital Sky Survey III. The catalog includes all BOSS objects that were targeted as quasar candidates during the survey, are spectrocopically confirmed as quasars via visual inspection, have luminosities Mi[z=2]<-20.5 (in a $\Lambda$CDM cosmology with H0 = 70 km/s/Mpc, $\Omega_{\rm M}$ = 0.3, and $\Omega_{\Lambda}$ = 0.7) and either display at least one emission line with full width at half maximum (FWHM) larger than 500 km/s or, if not, have interesting/complex absorption features. It includes as well, known quasars (mostly from SDSS-I and II) that were reobserved by BOSS. This catalog contains 87,822 quasars (78,086 are new discoveries) detected over 3,275 deg$^{2}$ with robust identification and redshift measured by a combination of principal component eigenspectra newly derived from a training set of 8,632 spectra from SDSS-DR7. The number of quasars with $z>2.15$ (61,931) is ~2.8 times larger than the number of z>2.15 quasars previously known. Redshifts and FWHMs are provided for the strongest emission lines (CIV, CIII], MgII). The catalog identifies 7,533 broad absorption line quasars and gives their characteristics. For each object the catalog presents five-band (u,g,r,i,z) CCD-based photometry with typical accuracy of 0.03 mag, and information on the morphology and selection method. The catalog also contains X-ray, ultraviolet, near-infrared, and radio emission properties of the quasars, when available, from other large-area surveys.",astro-ph.CO
