id,submitter,authors,title,comments,journal-ref,doi,abstract,report-no,categories,versions
1512.05690,Luis Escalera-Moreno,"Luis Escalera-Moreno, Nicolas Suaud, Alejandro Gaita-Ari\~no, Eugenio
  Coronado","Role of vibrations on decoherence in molecular spin qubits: The case of
  [Cu(mnt)$_2$]$^{2-}$",,,10.1021/acs.jpclett.7b00479,"  Herein we develop a simple first-principles methodology to determine the
modulation that vibrations exert on spin energy levels, a key for the rational
design of high-temperature molecular spin qubits and single-molecule magnets.
This methodology is demonstrated by applying it to [Cu(mnt)$_2$]$^{2-}$
(mnt$^{2-}$ = 1,2-dicyanoethylene-1,2-dithiolate), a highly coherent complex,
using DFT to calculate the normal vibrational modes and wave-function based
theory calculations to estimate the spin energy level structure. By
theoretically identifying the most relevant vibrational modes, we are able to
offer general strategies to chemically design more resilient magnetic
molecules, where the qubit energy is not coupled to local vibrations.
",,['cond-mat.mes-hall physics.chem-ph'],"['v1', 'v2']"
1701.02406,Jing Wang,"Weicai Wu, Jing Wang and Shouchuan Zhang",Basis of Nichols Braided Lie Algebras,,,,"  Assume that $V$ is a braided vector space with diagonal type. It is shown
that a monomial belongs to Nichols braided Lie algebra $\mathfrak L(V)$ if and
only if this monomial is connected. A basis of Nichols braided Lie algebra and
dimension of Nichols braided Lie algebra of finite Cartan type are obtained.
",,['math.QA'],"['v1', 'v2']"
astro-ph/0107358,L. V. E. Koopmans,"L.V.E. Koopmans (Caltech), R.D. Blandford (Caltech)",The Kinematics of High Proper Motion Halo White Dwarfs,"19 pages, 11 figures; submitted to MNRAS",,,"  We analyse the kinematics of the entire spectroscopic sample of 99 recently
discovered high proper-motion white dwarfs by Oppenheimer et al. using a
maximum-likelihood analysis, and discuss the claim that the high-velocity white
dwarfs are members of a halo population with a local density at least ten times
greater than traditionally assumed. We argue that the observations, as
reported, are consistent with the presence of an almost undetected thin disc
plus a thick disc, with densities as conventionally assumed. In addition, there
is a kinematically distinct, flattened, halo population at the more than 99%
confidence level. Surprisingly, the thick disc and halo populations are
indistinguishable in terms of luminosity, color and apparent age (1-10 Gyr).
Adopting a bimodal, Schwarzschild model for the local velocity ellipsoid, with
the ratios sigma_U:sigma_V:sigma_W=1:2/3:1/2, we infer radial velocity
dispersions of sigma_U=62(+8/-10) km/s and 150(+80/-40) km/s (90% C.L.) for the
local thick disc and halo populations, respectively. The thick disc result
agrees with the empirical relation between asymmetric drift and radial velocity
dispersion, inferred from local stellar populations. The local thick-disc plus
halo density of white dwarfs is n^{td+h}=(1.9+-0.5)x10^-3 pc^-3 (90% C.L.), of
which n^{h}=1.1(+2.1/-0.7)x10^-4 pc^-3 (90% C.L.) belongs to the halo, a
density about five times higher than previously thought. (Abridged)
",,['astro-ph'],['v1']
1206.6699,Paul Richmond,"Imtak Jeon, Neil Lambert and Paul Richmond",Periodic Arrays of M2-Branes,"20 pages, 1 figure, v3: typos corrected, published version",JHEP 1211 (2012) 100,10.1007/JHEP11(2012)100,"  We consider periodic arrays of M2-branes in the ABJM model in the spirit of a
circle compactification to D2-branes in type IIA string theory. The result is a
curious formulation of three-dimensional maximally supersymmetric Yang-Mills
theory in terms of fermions, seven transverse scalars, a non-dynamical gauge
field and an additional scalar `dual gluon'. Upon further T-duality on a
transverse torus we obtain a non-manifest-Lorentz-invariant description of
five-dimensional maximally supersymmetric Yang-Mills. Here the additional
scalar field can be thought of as the components of a two-form along the torus.
This action can be viewed as an M-theory description of M5-branes on ${\mathbb
T}^3$.
",CERN-PH-TH/2012-178; KCL-MTH-12-07,['hep-th'],"['v1', 'v2', 'v3']"
2010.00392,Pierre-Hugo Vial,"Pierre-Hugo Vial, Paul Magron, Thomas Oberlin, C\'edric F\'evotte","Phase retrieval with Bregman divergences and application to audio signal
  recovery","23 pages, 3 figures, accepted for publication in the IEEE Journal of
  Selected Topics in Signal Processing",,10.1109/JSTSP.2021.3051870,"  Phase retrieval (PR) aims to recover a signal from the magnitudes of a set of
inner products. This problem arises in many audio signal processing
applications which operate on a short-time Fourier transform magnitude or power
spectrogram, and discard the phase information. Recovering the missing phase
from the resulting modified spectrogram is indeed necessary in order to
synthesize time-domain signals. PR is commonly addressed by considering a
minimization problem involving a quadratic loss function. In this paper, we
adopt a different standpoint. Indeed, the quadratic loss does not properly
account for some perceptual properties of audio, and alternative discrepancy
measures such as beta-divergences have been preferred in many settings.
Therefore, we formulate PR as a new minimization problem involving Bregman
divergences. Since these divergences are not symmetric with respect to their
two input arguments in general, they lead to two different formulations of the
problem. To optimize the resulting objective, we derive two algorithms based on
accelerated gradient descent and alternating direction method of multipliers.
Experiments conducted on audio signal recovery from spectrograms that are
either exact or estimated from noisy observations highlight the potential of
our proposed methods for audio restoration. In particular, leveraging some of
these Bregman divergences induce better performance than the quadratic loss
when performing PR from spectrograms under very noisy conditions.
",,['cs.SD'],"['v1', 'v2']"
2106.07492,Yaoyi Chen,"Yaoyi Chen, Andreas Kr\""amer, Nicholas E. Charron, Brooke E. Husic,
  Cecilia Clementi, Frank No\'e",Machine Learning Implicit Solvation for Molecular Dynamics,"16 pages, 6 figures","J. Chem. Phys. 155, 084101 (2021)",10.1063/5.0059915,"  Accurate modeling of the solvent environment for biological molecules is
crucial for computational biology and drug design. A popular approach to
achieve long simulation time scales for large system sizes is to incorporate
the effect of the solvent in a mean-field fashion with implicit solvent models.
However, a challenge with existing implicit solvent models is that they often
lack accuracy or certain physical properties compared to explicit solvent
models, as the many-body effects of the neglected solvent molecules is
difficult to model as a mean field. Here, we leverage machine learning (ML) and
multi-scale coarse graining (CG) in order to learn implicit solvent models that
can approximate the energetic and thermodynamic properties of a given explicit
solvent model with arbitrary accuracy, given enough training data. Following
the previous ML--CG models CGnet and CGSchnet, we introduce ISSNet, a graph
neural network, to model the implicit solvent potential of mean force. ISSNet
can learn from explicit solvent simulation data and be readily applied to MD
simulations. We compare the solute conformational distributions under different
solvation treatments for two peptide systems. The results indicate that ISSNet
models can outperform widely-used generalized Born and surface area models in
reproducing the thermodynamics of small protein systems with respect to
explicit solvent. The success of this novel method demonstrates the potential
benefit of applying machine learning methods in accurate modeling of solvent
effects for in silico research and biomedical applications.
",,['physics.comp-ph physics.bio-ph physics.chem-ph q-bio.BM stat.ML'],"['v1', 'v2']"
1303.3398,Anand Awasthi,"Sonu Namdeo, A.K. Sinha, M.N. Singh, and A.M. Awasthi",Investigation of charge states and multiferroicity in Fe-doped h-YMnO3,"17 pages, 5 figures, 4 tables, 37 references. arXiv admin note:
  substantial text overlap with arXiv:1204.4800","J. Appl. Phys. 113, 104101 (2013)",10.1063/1.4794831,"  Polycrystalline YMn1-xFexO3 (YMFO_x) (0 <= x <= 0.1) compounds have been
prepared in single phase and characterized by synchrotron X-ray diffraction,
X-ray absorption near edge spectroscopy, magnetization, and dielectric
measurements. Iron-substitution in hexagonal YMnO3 causes intra-lattice changes
exceeding those of the lattice cell. XANES provide mixed-valence Mn3+/Mn4+ and
Fe4+ charge states in these manganites, consistent with the observed decrease
of the effective magnetic moment with Fe-doping. Magnetization M(T) evidence
antiferromagnetic (AFM) ordering of the specimens with little weak
ferromagnetism, and the metrices of exchange interaction suppress with
Fe-doping, attributed to the lengthening of the Mn-O planar bond lengths.
Dielectric {\epsilon}'(T) results showing highly doping-dependent anomaly at
T_N indicate linear magneto-electric coupling.
",,['cond-mat.mtrl-sci'],"['v1', 'v2']"
1210.5166,Isabelle P\^aris,"Isabelle P\^aris, Patrick Petitjean, Eric Aubourg, Stephen Bailey,
  Nicholas P. Ross, Adam D. Myers, Michael A. Strauss, Scott F. Anderson,
  Eduard Arnau, Julian Bautista, Dmitry Bizyaev, Adam S. Bolton, Jo Bovy,
  William N. Brandt, Howard Brewington, Joel R. Brownstein, Nicolas Busca,
  Daniel Capellupo, William Carithers, Rupert A.C. Croft, Kyle Dawson,
  Timoth\'ee Delubac, Garrett Ebelke, Daniel J. Eisenstein, Philip Engelke,
  Xiaohui Fan, Nur Filiz Ak, Hayley Finley, Andreu Font-Ribera, Jian Ge, Robert
  R. Gibson, Patrick B. Hall, Fred Hamann, Joseph F. Hennawi, Shirley Ho, David
  W. Hogg, Zeljko Ivezic, Linhua Jiang, Amy E. Kimball, David Kirkby, Jessica
  A. Kirkpatrick, Khee-Gan Lee, Jean-Marc Le Goff, Britt Lundgren, Chelsea L.
  MacLeod, Elena Malanushenko, Viktor Malanushenko, Claudia Maraston, Ian D.
  McGreer, Richard G. McMahon, Jordi Miralda-Escud\'e, Demitri Muna, Pasquier
  Noterdaeme, Daniel Oravetz, Nathalie Palanque-Delabrouille, Kaike Pan,
  Isma\""el Perez-Fournon, Matthew M. Pieri, Gordon T. Richards, Emmanuel
  Rollinde, Erin S. Sheldon, David J. Schlegel, Donald P. Schneider, Anze
  Slosar, Alaina Shelden, Yue Shen, Audrey Simmons, Stephanie Snedden, Nao
  Suzuki, Jeremy Tinker, Matteo Viel, Benjamin A. Weaver, David H. Weinberg,
  Martin White, W. Michael Wood-Vasey, Christophe Y\`eche",The Sloan Digital Sky Survey quasar catalog: ninth data release,"Accepted for publication in A&A, Catalog available online at
  http://www.sdss3.org/dr9/algorithms/qso_catalog.php",,10.1051/0004-6361/201220142,"  We present the Data Release 9 Quasar (DR9Q) catalog from the Baryon
Oscillation Spectroscopic Survey (BOSS) of the Sloan Digital Sky Survey III.
The catalog includes all BOSS objects that were targeted as quasar candidates
during the survey, are spectrocopically confirmed as quasars via visual
inspection, have luminosities Mi[z=2]<-20.5 (in a $\Lambda$CDM cosmology with
H0 = 70 km/s/Mpc, $\Omega_{\rm M}$ = 0.3, and $\Omega_{\Lambda}$ = 0.7) and
either display at least one emission line with full width at half maximum
(FWHM) larger than 500 km/s or, if not, have interesting/complex absorption
features. It includes as well, known quasars (mostly from SDSS-I and II) that
were reobserved by BOSS. This catalog contains 87,822 quasars (78,086 are new
discoveries) detected over 3,275 deg$^{2}$ with robust identification and
redshift measured by a combination of principal component eigenspectra newly
derived from a training set of 8,632 spectra from SDSS-DR7. The number of
quasars with $z>2.15$ (61,931) is ~2.8 times larger than the number of z>2.15
quasars previously known. Redshifts and FWHMs are provided for the strongest
emission lines (CIV, CIII], MgII). The catalog identifies 7,533 broad
absorption line quasars and gives their characteristics. For each object the
catalog presents five-band (u,g,r,i,z) CCD-based photometry with typical
accuracy of 0.03 mag, and information on the morphology and selection method.
The catalog also contains X-ray, ultraviolet, near-infrared, and radio emission
properties of the quasars, when available, from other large-area surveys.
",,['astro-ph.CO'],['v1']
1403.4862,Ornella Greco,Ornella Greco,Green's Hyperplane Restriction Theorem: an extension to modules,"17 pages, 1 table",,,"  In this paper, we prove a generalization of Green's Hyperplane Restriction
Theorem to the case of modules over the polynomial ring, providing in
particular an upper bound for the Hilbert function of the general linear
restriction of a module M in a degree d by the corresponding Hilbert function
of a lexicographic module.
",,['math.AC'],['v1']
2008.08019,Ranjith R Kumar,"Ranjith R Kumar, Y R Kartik, S Rahul, and Sujit Sarkar",Multi-critical topological transition at quantum criticality,"23 pages (including appendices), 13 figures. Recently revised version
  with modified figures, additional references and discussions","Scientific Reports, 11, 1004 (2021)",10.1038/s41598-020-80337-7,"  The investigation and characterization of topological quantum phase
transition between gapless phases is one of the recent interest of research in
topological states of matter. We consider transverse field Ising model with
three spin interaction in one dimension and observe a topological transition
between gapless phases on one of the critical lines of this model. We study the
distinct nature of these gapless phases and show that they belong to different
universality classes. The topological invariant number (winding number)
characterize different topological phases for the different regime of parameter
space. We observe the evidence of two multi-critical points, one is
topologically trivial and the other one is topologically active. Topological
quantum phase transition between the gapless phases on the critical line occurs
through the non-trivial multi-critical point in the Lifshitz universality
class. We calculate and analyze the behavior of Wannier state correlation
function close to the multi-critical point and confirm the topological
transition between gapless phases. We show the breakdown of Lorentz invariance
at this multi-critical point through the energy dispersion analysis. We also
show that the scaling theories and curvature function renormalization group can
also be effectively used to understand the topological quantum phase
transitions between gapless phases. The model Hamiltonian which we study is
more applicable for the system with gapless excitations, where the conventional
concept of topological quantum phase transition fails.
",,['cond-mat.str-el'],"['v1', 'v2']"
0812.3400,Wolfgang Wagner,"CDF Collaboration: T. Aaltonen, et al","Search for top-quark production via flavor-changing neutral currents in
  W+1 jet events at CDF","15 pages, 2 figures","Phys.Rev.Lett.102:151801,2009",10.1103/PhysRevLett.102.151801,"  We report on the first search for top-quark production via flavor-changing
neutral-current (FCNC) interactions in the non-standard-model process u(c)+g ->
t using ppbar collision data collected by the CDF II detector. The data set
corresponds to an integrated luminosity of 2.2/fb. The candidate events feature
the signature of semileptonic top-quark decays and are classified as
signal-like or background-like by an artificial neural network trained on
simulated events. The observed discriminant distribution is in good agreement
with the one predicted by the standard model and provides no evidence for FCNC
top-quark production, resulting in a Bayesian upper limit on the production
cross section sigma (u(c)+g -> t) < 1.8 pb at the 95% confidence level. Using
theoretical predictions we convert the cross-section limit to upper limits on
FCNC branching ratios: BR (t -> u+g) < 3.9 x 10{-4}$ and BR (t -> c+g) < 5.7 x
10^{-3}.
",FERMILAB-PUB-09-011-E,['hep-ex'],"['v1', 'v2', 'v3']"
1402.0511,Charles Fisher,"Charles K. Fisher, Pankaj Mehta","Identifying Keystone Species in the Human Gut Microbiome from
  Metagenomic Timeseries using Sparse Linear Regression",,,10.1371/journal.pone.0102451,"  Human associated microbial communities exert tremendous influence over human
health and disease. With modern metagenomic sequencing methods it is possible
to follow the relative abundance of microbes in a community over time. These
microbial communities exhibit rich ecological dynamics and an important goal of
microbial ecology is to infer the interactions between species from sequence
data. Any algorithm for inferring species interactions must overcome three
obstacles: 1) a correlation between the abundances of two species does not
imply that those species are interacting, 2) the sum constraint on the relative
abundances obtained from metagenomic studies makes it difficult to infer the
parameters in timeseries models, and 3) errors due to experimental uncertainty,
or mis-assignment of sequencing reads into operational taxonomic units, bias
inferences of species interactions. Here we introduce an approach, Learning
Interactions from MIcrobial Time Series (LIMITS), that overcomes these
obstacles. LIMITS uses sparse linear regression with boostrap aggregation to
infer a discrete-time Lotka-Volterra model for microbial dynamics. We tested
LIMITS on synthetic data and showed that it could reliably infer the topology
of the inter-species ecological interactions. We then used LIMITS to
characterize the species interactions in the gut microbiomes of two individuals
and found that the interaction networks varied significantly between
individuals. Furthermore, we found that the interaction networks of the two
individuals are dominated by distinct ""keystone species"", Bacteroides fragilis
and Bacteroided stercosis, that have a disproportionate influence on the
structure of the gut microbiome even though they are only found in moderate
abundance. Based on our results, we hypothesize that the abundances of certain
keystone species may be responsible for individuality in the human gut
microbiome.
",,['q-bio.QM q-bio.PE'],['v1']
1102.5548,Pawel Moskal,P. Moskal,Studies of the $\eta$ meson with WASA at COSY and KLOE-2 at DA$\Phi$NE,"Invited talk at the 3rd International Conference on Nuclear and
  Particle Physics with CEBAF at Jefferson Lab, October 3-8, 2010, Dubrovnik,
  Croatia",,,"  One of the basic motivations of the KLOE-2 and WASA-at-COSY experiments is
the test of fundamental symmetries and the search for phenomena beyond the
Standard Model in the hadronic and leptonic decays of ground-state mesons and
in particular in decays of the $\eta$ meson. At COSY these mesons are produced
in collisions of proton or deuteron beam with hydrogen or deuterium pellet
target, and at DA$\Phi$NE $\eta$ mesons originate from radiative decays of
$\phi$ meson or from the fusion of virtual gamma quanta exchanged between
colliding electrons and positrons. This contribution includes brief description
of experimental techniques used by KLOE-2 and WASA-at-COSY as well as some of
physics aspects motivating investigations of production and decays of $\eta$
mesons.
",,['hep-ex nucl-ex'],['v1']
